Id;StartDate;Submit Date;NetworkID;Age;Gender;WorkingStatus;GeoLocation;BanksOpenAccount;WhyBank;ATMUsage;BankServices;EsejMobilno;InternetBankMoreUsage;ScoreBankingServices;InternetSafety;InternetBankingSafety;YouthBenefits
243;26.3.2015 21:16;26.3.2015 21:22;c05dc9634c750a2169db4e5f927d530d00235180;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Hyppo;Pristupaènost;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;"Jednostavnija i jasnija usluga; Besplatne transakcije";2;1;2;2
244;26.3.2015 21:35;26.3.2015 21:42;de234d8587361882984f117ac3823f09c4b97bdd;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;2;5;6
245;26.3.2015 21:45;26.3.2015 21:50;0c1a0f809c66c42340c303fa1526f6aa183744a7;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;PBZ;Preporuka prijatelja ili rodbine;Više od èetiri puta tjedno;Internet bankarstvo;;Besplatne transakcije;3;2;3;1
248;26.3.2015 22:44;26.3.2015 22:50;4a0a7a0687a936bde9ad59858ba06bf2e293d6ed;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;"Splitska; PBZ";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Plaæanje raèuna;Ne koristim ;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost";3;1;1;2
249;26.3.2015 23:28;26.3.2015 23:35;de234d8587361882984f117ac3823f09c4b97bdd;Od 19 do 25;Muško;Student/ica;Splitsko-dalmatinska županija;"Splitska; PBZ";Pristupaènost;Više od èetiri puta tjedno;"Studentski paket (uljuèuje sve); Plaæanje raèuna";ne koristim;Sve je savršeno, ne bih ništa promijenio/la;4;;;5
251;26.3.2015 23:32;26.3.2015 23:38;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica + zaposlen/a;Grad Zagreb;PBZ;Pristupaènost;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";moguænost korištenja i bez internetskog pristupa;Nagrade (smanjene cijene za odreðene usluge);3;3;3;5
254;26.3.2015 23:34;26.3.2015 23:38;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;Studentski paket (uljuèuje sve);Ne bih ništa dodala.;Veæa sigurnost;3;4;4;3
256;26.3.2015 23:35;26.3.2015 23:43;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;2;3;4
257;26.3.2015 23:37;26.3.2015 23:41;ed1b27cdb77d23a91f97e53e9e41114c3b2229c1;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu; Plaæanje raèuna";Kalkulator za izraèun otplate kredita;Sve je savršeno, ne bih ništa promijenio/la;6;5;5;2
260;26.3.2015 23:44;26.3.2015 23:55;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;PBZ;;Jednom tjedno;"Studentski paket (uljuèuje sve); Provjera stanja na raèunu";ne koristim;Jednostavnija i jasnija usluga;0;1;1;1
261;26.3.2015 23:47;26.3.2015 23:50;e99bbf4b01e8c9acc02defd0bbea0c23ba58cbd0;Od 19 do 25;Muško;Nezaposlen/a;Varaždinska županija;"PBZ; Zagrebaèka ";Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";2;4;4;5
263;27.3.2015 0:05;27.3.2015 0:08;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Raiffeisen;;Jednom u dva tjedna;Mobilno bankarstvo;;Besplatne transakcije;3;1;1;2
265;27.3.2015 0:32;27.3.2015 0:35;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"Splitska; HPB";Preporuka prijatelja ili rodbine;Jednom tjedno;Ne koristim bankarske usluge;;Da je besplatno;1;;;3
266;27.3.2015 0:41;27.3.2015 0:54;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Internet bankarstvo; Provjera stanja na raèunu";;"Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga";3;3;2;3
267;27.3.2015 1:22;27.3.2015 1:27;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost; Besplatne transakcije";3;;3;1
271;27.3.2015 6:59;27.3.2015 7:04;3bf463a365c20eeefc11b71888fdeae691ad2836;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;;Jednom tjedno;"Studentski paket (uljuèuje sve); Štednja";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";4;5;5;5
273;27.3.2015 7:07;27.3.2015 7:11;f70d2fb040bc74c2ebd7797323b1d6d1eb8ff6de;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;Podravska;Pristupaènost;Jednom u dva tjedna;Ne koristim bankarske usluge;;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Telefonska pomoæ pri postavaljanju Internet usluga; Besplatne transakcije";2;2;2;4
274;27.3.2015 7:34;27.3.2015 7:48;9e3f81c83c9110a40f508443dac8617981506ef5;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Bank of America;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu";Dodala bih funkciju za odreðivanje budžeta. Inaèe koristim zasebnu aplikaciju za to, pa bi ovako sve bilo na istome mjestu.;Jednostavnija i jasnija usluga;3;3;3;3
275;27.3.2015 8:00;27.3.2015 8:06;92dc430e4e1beb87c54d9bb111154e3a1ca64489;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost";5;4;4;5
276;27.3.2015 8:12;27.3.2015 8:15;22000af7aa5aeeeed8ed544e6c4cd6e35f1216ce;Od 15 do 18;Žensko;Srednjoškolac/ka;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";Ne kiristim;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";3;2;3;5
279;27.3.2015 10:25;27.3.2015 10:30;9f2acfdc748888bca4b46d5d26af4a83e7d4f931;Od 19 do 25;Žensko;Student/ica;Splitsko-dalmatinska županija;"Splitska; Zagrebaèka ";Pristupaènost;Više od èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve)";Ima meni sve potrebno;Nagrade (smanjene cijene za odreðene usluge);5;5;5;5
280;27.3.2015 10:50;27.3.2015 10:56;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Žensko;Student/ica;Brodsko-posavska županija;PBZ;;Jednom tjedno;Provjera stanja na raèunu;ne koristim;"Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga";3;;;3
281;27.3.2015 11:07;27.3.2015 11:10;ac4da26f51b70b313b4db8cc8febe6f5b19d497e;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;Ne koristim bankarske usluge;;Besplatne transakcije;2;4;3;6
283;27.3.2015 13:47;27.3.2015 13:53;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom u dva tjedna;"Štednja; Provjera stanja na raèunu";;Besplatne transakcije;2;4;4;6
286;27.3.2015 18:43;27.3.2015 18:47;7eb6f632ef856c1eed6d561eaaf587557f953741;Od 19 do 25;Žensko;Student/ica + zaposlen/a;Grad Zagreb;otp banka;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Internet bankarstvo; Štednja; Provjera stanja na raèunu; Plaæanje raèuna";Prebacivanje novaca sa žiro raèuna na karticu;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";4;4;4;5
288;27.3.2015 21:26;27.3.2015 21:32;21f69f503223f05706a059f3dabafecb2791de58;Od 15 do 18;Muško;Srednjoškolac/ka;Grad Zagreb;Nemam raèun;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Studentski paket (uljuèuje sve); Osiguranje";;Veæa sigurnost;3;3;3;4
289;27.3.2015 22:56;27.3.2015 22:59;fa25c4ddf3b6c0f10b061177b61df95b13aef4bb;Od 19 do 25;Žensko;Nezaposlen/a;Meðimurska županija;ERSTE;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;Jednostavnija i jasnija usluga;4;3;4;4
290;28.3.2015 8:32;28.3.2015 8:34;c4a104e2a5a2b11d47112eff69632fa265e3c9d7;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";4;3;3;4
299;29.3.2015 10:40;29.3.2015 10:45;ceb2a80d3d169379161dc088a25b8b1ee3977e29;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu; Plaæanje raèuna";otvaranje štednje preko mobitela;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";4;3;5;5
303;29.3.2015 19:03;29.3.2015 19:06;b27baed02c802dee9bace8f64d8f848a90e0c168;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Internet bankarstvo; Plaæanje raèuna";Zasad je sve ok;Besplatne transakcije;4;4;4;5
304;29.3.2015 19:12;29.3.2015 19:16;a7c0bd4e9db1775b8532de0ff72ed86fa66d3ded;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Debitna ili kreditna kartica;;Jednostavnija i jasnija usluga;1;;;6
308;31.3.2015 15:23;31.3.2015 15:27;0ee2cf7b3b07f4fee9cfc3274d98e8ceb5b42497;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Ne koristim bankarske usluge;ne koristim je.;Besplatne transakcije;3;4;3;4
313;31.3.2015 20:37;31.3.2015 20:41;a2624e0936a4eaf649215be5debbc4c44c5e2c34;Više od 25;Muško;Zaposlen/a;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Internet bankarstvo; Štednja; Provjera stanja na raèunu";;Veæa sigurnost;5;;4;4
314;31.3.2015 20:39;31.3.2015 20:42;9e33c91869cf7747583c868efef396d3b86e7599;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;PBZ;Pristupaènost;Ne koristim bankomat;"Štednja; Provjera stanja na raèunu; Investiranje";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost; Telefonska pomoæ pri postavaljanju Internet usluga; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";1;1;1;1
320;31.3.2015 20:56;31.3.2015 21:02;08cc81f0fa50df44575322d6d1748423d31c6d89;Od 19 do 25;Muško;Zaposlen/a;Grad Zagreb;ERSTE;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;Pa lakše mi je sve obaviti sjedeæi za laptopom nego da moram iæi u banku;6;5;5;6
321;31.3.2015 20:57;31.3.2015 21:01;5094b704b6517ee9f0fbf96dfad2326192f8e57a;Više od 25;Muško;Zaposlen/a;Krapinsko-zagorska ;PBZ;;Dva do èetiri puta tjedno;Studentski paket (uljuèuje sve);;Jednostavnija i jasnija usluga;5;4;5;5
325;31.3.2015 21:05;31.3.2015 21:10;8e2aa513d356481e7749f82412ac402b02deee5e;Više od 25;Muško;Zaposlen/a;Grad Zagreb;PBZ;Najbolji uvjeti i pogodnosti;Dva do èetiri puta tjedno;"Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu";;Nagrade (smanjene cijene za odreðene usluge);3;5;5;4
329;31.3.2015 21:10;31.3.2015 21:12;306059903d1acf630ffe07624bc1ff2d2e6ce4e7;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Debitna ili kreditna kartica; Štednja";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";2;5;;3
334;31.3.2015 21:35;31.3.2015 21:39;8c9fa53f501f6f59c949abdba92cdafbeccd0d4f;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";4;4;4;4
340;31.3.2015 22:36;31.3.2015 22:41;89b20d40d75a3070bbfd32f1df89a7c7d2c5d0d6;Više od 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Plaæanje raèuna; Investiranje; Kredit";lakše prebacivanje sredstava izmeðu vlastitih raèuna;Sve je savršeno, ne bih ništa promijenio/la;5;5;5;5
342;31.3.2015 22:50;31.3.2015 22:54;4cd917d2f60c0f35a27d291ab5fbb038329b856c;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"Zagrebaèka ; HPB";Preporuka prijatelja ili rodbine;Više od èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";3;3;4;6
343;31.3.2015 22:52;31.3.2015 22:55;f9779d996152d8620e94dee6c164286920808b0e;Od 19 do 25;Muško;Student/ica + zaposlen/a;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Internet bankarstvo; Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;Besplatne transakcije;4;4;4;4
345;31.3.2015 22:53;31.3.2015 22:58;cda54f68ce0d98fe10637e4ff0cd4b4d597f5e34;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;HPB;Pristupaènost;Jednom u dva tjedna;Prepaid kartica;;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;5;3;6
346;31.3.2015 22:59;31.3.2015 23:02;f5fe25a2116dc6bee005b442138eacf2c42efe1a;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Debitna ili kreditna kartica";;Bolja uputstva za postavljanje Internet usluga;3;4;4;2
348;31.3.2015 23:19;31.3.2015 23:22;23d67c8b666565a4859792c9032c211be51dd02b;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Štednja; Investiranje";trgovanje dionicama;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";4;3;4;5
351;1.4.2015 6:22;1.4.2015 6:28;7a56b1c0941b68556409eb7d47cb0ef360cc5fa4;Više od 25;Muško;Zaposlen/a;Grad Zagreb;PBZ;;Ne koristim bankomat;Ne koristim bankarske usluge;;Ako nije besplatno, necu ga koristiti.;3;1;3;1
353;1.4.2015 6:34;1.4.2015 6:38;95766fdb9d10b2559ac133bb6834c75a08dcb7c9;Od 19 do 25;Žensko;Student/ica + zaposlen/a;Grad Zagreb;"PBZ; Zagrebaèka ";Pristupaènost;Jednom tjedno;"Studentski paket (uljuèuje sve); Štednja; Plaæanje raèuna; Investiranje";;Sve je savršeno, ne bih ništa promijenio/la;4;3;4;6
359;1.4.2015 8:50;1.4.2015 8:52;822cd2571383eab578addd9d856d79f3b1ceed5f;Više od 25;Muško;Zaposlen/a;Grad Zagreb;"PBZ; Zagrebaèka ";Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu; Plaæanje raèuna; Investiranje";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";6;3;5;4
362;1.4.2015 9:52;1.4.2015 9:54;ae0af3b048edc88790694e4d5e30116b75cf6874;Od 19 do 25;Muško;Student/ica;Grad Zagreb;ERSTE;Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";5;4;4;5
363;1.4.2015 9:53;1.4.2015 9:55;4ce9923bf77a164dd7faa36873d94058fb5c49ed;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Splitska;Najbolji uvjeti i pogodnosti;Dva do èetiri puta tjedno;Debitna ili kreditna kartica;;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;4;5;6
366;1.4.2015 10:17;1.4.2015 10:20;34c698353c2517b8d05105cd9e3a5a6b70e448ee;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Preporuka prijatelja ili rodbine;Jednom tjedno;Studentski paket (uljuèuje sve);;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;3;4;5
367;1.4.2015 10:17;1.4.2015 10:21;701614a4d3d710dbde631ca8e706489cfa5e9005;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;3;5;5
368;1.4.2015 10:18;1.4.2015 10:23;8c809a1a4bd9ce8b3efba75a36b5ca5b5743e6d2;Od 19 do 25;Muško;Student/ica;Grad Zagreb;HPB ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;3;4;4
370;1.4.2015 10:33;1.4.2015 10:36;0474556a7e8ccb80ac841f0ca3f0b0daf47f42e9;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Plaæanje raèuna";Ima sve što mi trenutno treba.;Jednostavnija i jasnija usluga;4;4;4;5
371;1.4.2015 10:33;1.4.2015 10:42;1d4dc7542c23e49a49e68b41153b73d91312ac8b;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;"Jednostavnija i jasnija usluga; Besplatne transakcije";5;4;5;6
373;1.4.2015 10:42;1.4.2015 10:45;cc56e95dacf441170be9ef353d1d63f75f4b4579;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Provjera stanja na raèunu;;Besplatne transakcije;2;3;3;4
374;1.4.2015 10:51;1.4.2015 10:55;d1e58f45b5e7c86b7d57309bbceab6a8e0c40fbd;Više od 25;Muško;Zaposlen/a;Zagrebaèka županija;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;Nagrade (smanjene cijene za odreðene usluge);5;3;4;4
375;1.4.2015 10:54;1.4.2015 10:57;faad6f8ce58e2564b1e52cbc3c2fc8403d211f6c;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;Ne koristim bankarske usluge;;Jednostavnija i jasnija usluga;3;5;5;6
377;1.4.2015 11:04;1.4.2015 11:06;af250f00e5ec13095ad081bf79cceeaa8177b713;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Podravska;Pristupaènost;Jednom u dva tjedna;"Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;4;5;5
378;1.4.2015 11:12;1.4.2015 11:15;bb5d95e666772e6f634a154e4833dccf27082cd8;Više od 25;Muško;Zaposlen/a;Grad Zagreb;Zagrebaèka ;;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";3;4;4;3
380;1.4.2015 11:46;1.4.2015 11:48;af250f00e5ec13095ad081bf79cceeaa8177b713;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"ERSTE; Raiffeisen";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Kontaktiranje Vašeg savjetnika u banci; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost";3;2;2;5
381;1.4.2015 12:01;1.4.2015 12:03;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;PBZ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Plaæanje raèuna";;Sve je savršeno, ne bih ništa promijenio/la;5;5;5;6
382;1.4.2015 12:08;1.4.2015 12:14;05c0605b611c84ea26dc72552229520a75aa1d95;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Najbolji uvjeti i pogodnosti;Ne koristim bankomat;"Štednja; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost";3;3;4;5
385;1.4.2015 12:25;1.4.2015 12:28;fcf922f9a49def38b7514041c9cb7fc2005552db;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Štednja; Plaæanje raèuna";;"Jednostavnija i jasnija usluga; Veæa sigurnost";4;;;4
387;1.4.2015 12:45;1.4.2015 12:49;cda54f68ce0d98fe10637e4ff0cd4b4d597f5e34;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Internet bankarstvo; Štednja";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";3;3;3;4
388;1.4.2015 14:08;1.4.2015 14:12;af250f00e5ec13095ad081bf79cceeaa8177b713;Od 19 do 25;Muško;Student/ica;Varaždinska županija;ERSTE;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;Jednostavnija i jasnija usluga;2;1;2;2
389;1.4.2015 14:24;1.4.2015 14:30;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Varaždinska županija;PBZ;Najbolji uvjeti i pogodnosti;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu; Plaæanje raèuna; Investiranje";;Besplatne transakcije;6;4;4;6
391;1.4.2015 14:50;1.4.2015 14:52;8d53b062e65b9941729e8bae0c5b5c4acc053862;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Ne koristim bankomat;Studentski paket (uljuèuje sve);;Jednostavnija i jasnija usluga;3;2;3;5
393;1.4.2015 16:34;1.4.2015 16:39;c6ce7df15b9737a423bcf2aedd128670aa583d41;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Raiffeisen;Pristupaènost;Ne koristim bankomat;"Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";1;1;1;5
394;1.4.2015 16:37;1.4.2015 16:40;db8de129b8ae6f6bd28fa9dc5b4be0ae010644a6;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;PBZ;Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;Studentski paket (uljuèuje sve);baš naprotiv, smatram da za mene osobno ima previše funkcija;Veæa sigurnost;3;4;4;4
395;1.4.2015 17:17;1.4.2015 17:20;04ecf1eeade75b6d0322df98aced538d2c961c69;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Hypo ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu";Dostupnost za Windows Phone operativni sustav!;Nagrade (smanjene cijene za odreðene usluge);4;4;4;5
396;1.4.2015 17:59;1.4.2015 18:02;d8954202cfd4824c98095898a98ad51a0ab7218f;Više od 25;Muško;Zaposlen/a;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Internet bankarstvo; Studentski paket (uljuèuje sve); Štednja; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";4;4;5;5
